Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"HW_USB_DP","OffPage","04 TTL","4","MAIN","U4.1,U4.6,U5.A2","1100","160","2D","{3}"
"HW_USB_DP","OffPage","03 HUB","3","MAIN","U1.28","850","160","3D","{4}"
"HW_USB_DN","OffPage","04 TTL","4","MAIN","U4.3,U4.4,U5.A3","1100","170","2D","{3}"
"HW_USB_DN","OffPage","03 HUB","3","MAIN","U1.27","850","170","3D","{4}"
"MTK_USB_DP","OffPage","04 TTL","4","MAIN","U5.A6,U6.1,U6.6","1100","200","2D","{3}"
"MTK_USB_DP","OffPage","03 HUB","3","MAIN","U1.3","850","80","3D","{4}"
"MTK_USB_DN","OffPage","04 TTL","4","MAIN","U5.A7,U6.3,U6.4","1100","210","2D","{3}"
"MTK_USB_DN","OffPage","03 HUB","3","MAIN","U1.2","850","90","3D","{4}"
"USB_DP","OffPage","04 TTL","4","MAIN","U7.1,U7.6,USB1.6,USB1.8","1090","550","2C","{3}"
"USB_DP","OffPage","03 HUB","3","MAIN","U1.26","850","180","3D","{4}"
"USB_DN","OffPage","04 TTL","4","MAIN","U7.3,U7.4,USB1.5,USB1.7","1090","560","2C","{3}"
"USB_DN","OffPage","03 HUB","3","MAIN","U1.25","850","190","3D","{4}"
"GL850_USB_DN","OffPage","03 HUB","3","MAIN","U1.8","620","230","4D","{4}"
"GL850_USB_DN","OffPage","04 TTL","4","MAIN","U3.4","200","190","5D","{3}"
"GL850_USB_DP","OffPage","03 HUB","3","MAIN","U1.9","620","240","4D","{4}"
"GL850_USB_DP","OffPage","04 TTL","4","MAIN","U3.3","200","180","5D","{3}"
